business_activity,category,scale_or_specification,unit,reference_cost_min_inr,reference_cost_max_inr,cost_basis,source_authority,source_year,state_or_scope,source_page,official_source_url,notes,provenance_priority,use_for_vittanaya
Rice / Paddy - Irrigated Alternative,Crop finance,Rice,acre,37000,37000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Rice / Paddy - Rainfed Alternative,Crop finance,Rice,acre,30000,30000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Finger Millet - Irrigated SoF,Crop finance,Ragi,acre,14000,14000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Finger Millet - Rainfed SoF,Crop finance,Ragi,acre,13000,13000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Cowpea SoF,Crop finance,Cowpea,acre,15000,15000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Green Gram SoF,Crop finance,Green gram,acre,16500,16500,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Black Gram SoF,Crop finance,Black gram,acre,16500,16500,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Horse Gram SoF,Crop finance,Horse gram,acre,14000,14000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Pigeon Pea SoF,Crop finance,Pigeon pea,acre,17000,17000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Sesame SoF,Crop finance,Sesame,acre,13000,13000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fodder Development SoF,Crop finance,"Fodder, 10 MT",10 MT,24697,24697,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fish Pond Polyculture SoF,Fisheries finance,Composite fish culture,unit,180000,180000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Goat Farming SoF,Livestock finance,Semi-intensive rearing,unit,35000,35000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Pig Farming SoF,Livestock finance,Rearing unit,unit,284500,284500,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Layer Farming SoF,Poultry finance,"Semi-automated cage, 10,000 birds",10000 birds,4182300,4182300,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Broiler Farming SoF,Poultry finance,1000 birds,1000 birds,208450,208450,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Buffalo Farming SoF,Dairy finance,Murrah buffalo,animal,66350,66350,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Crossbred Farming SoF,Dairy finance,Crossbred,animal,60000,60000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Desi Chicken Semi-commercial SoF,Poultry finance,100 birds,100 birds,20000,20000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Integrated Farming SoF,Integrated farming,Fisheries + poultry + horticulture,unit,200000,200000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Integrated Farming - Boiler 250 birds,Integrated farming,Fisheries + poultry,unit,232000,232000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Cable TV Network / Computer Centre (Cyber Cafe & Xerox),Digital services,Observed beneficiary project,project,200000,200000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Kendrapara. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Nursing Home,Healthcare,Observed beneficiary project,project,2105263,2105263,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Dhenkanal. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Fabrication Work,Manufacturing/service,Observed beneficiary project,project,1000000,1000000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Keonjhar. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Tent House Services,Event services,Observed beneficiary project,project,550000,550000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Puri. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Hotel,Hospitality,Observed beneficiary project,project,105555,105555,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Sundargarh. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Carved Wood / Artistic Furniture,Furniture / manufacturing,Observed beneficiary project,project,3850000,3850000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Balasore. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Hiring of Civil Construction Materials,Construction rental/services,Observed beneficiary project,project,263158,263158,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Balasore. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Mechanised Wood Carving Furniture,Furniture / manufacturing,Observed beneficiary project,project,2500000,2500000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Koraput. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Mixture Manufacturing,Manufacturing,Observed beneficiary project,project,800000,800000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Nayagarh. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Namkeen Mixer Food Industry,Food processing,Observed beneficiary project,project,800000,800000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Odisha. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Tailoring / Readymade Garments,Garments,Observed beneficiary project,project,1000000,1000000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Khurda. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Video & Photo Studio / Xerox,Digital services,Observed beneficiary project,project,900000,900000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Kalahandi. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Tent House,Event services,Observed beneficiary project,project,252632,252632,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Kalahandi. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Grocery Store,Retail (scheme-constrained),Observed beneficiary project,project,263158,263158,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Rayagada; activity shown with PMEGP restriction. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Fly Ash Bricks Manufacturing Unit,Construction-material manufacturing,Observed beneficiary project,project,2500000,2500000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha claims PDF; Balasore. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Public / Rural Transport Service,Transport & logistics,Observed PMEGP project,project,1295000,1295000,Observed Odisha PMEGP sanctioned/claimed project cost,KVIC / PMEGP,2022-2026 examples in portal,Odisha,,https://kviconline.gov.in/pmegpeportal/jsp/PMEGPGenbulk.jsp?APP_ID=++AND+ZONE_NM+%3D+%27East%27++++AND+OFF_NAME1+%3D+%27Odisha%27,PMEGP Odisha portal example. Observed project cost; not a generic standard cost.,ODISHA_OBSERVED_PRIMARY,"Yes — observed Odisha project cost; show as an observed reference, not a standard."
Tractor with accessories – 15 to 25 HP,Farm mechanization,15–25 HP,unit,400000,600000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tractor with accessories – 26 to 35 HP,Farm mechanization,26–35 HP,unit,620000,680000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tractor with accessories – 36 to 45 HP,Farm mechanization,36–45 HP,unit,680000,780000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tractor with accessories – 46 to 55 HP,Farm mechanization,46–55 HP,unit,800000,980000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tractor with accessories – 56 to 60 HP,Farm mechanization,56–60 HP,unit,980000,1080000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Trolley – two wheel hydraulic,Farm mechanization,Two-wheel hydraulic,unit,160000,190000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Power tiller,Farm mechanization,6–12 HP,unit,175000,300000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Seed cum fertilizer drill,Farm mechanization,1 m width,unit,80000,150000,range,NABARD,2025-26,Andhra Pradesh,78,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Paddy transplanter,Farm mechanization,"4, 6 & 8 rows",unit,230000,460000,range,NABARD,2025-26,Andhra Pradesh,78-79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
M.B. plough,Farm mechanization,2/3 furrows,unit,40000,75000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Reversible M.B. plough,Farm mechanization,2/3 furrows,unit,75000,110000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Disc plough,Farm mechanization,2/3 discs,unit,50000,80000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Disc harrow,Farm mechanization,12–30 discs,unit,60000,90000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Cultivator,Farm mechanization,7–11 tine,unit,25000,50000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Rotovator,Farm mechanization,540 and 1000 rpm PTO,unit,125000,160000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Thresher,Farm mechanization,30–45 HP PTO driven,unit,140000,320000,range,NABARD,2025-26,Andhra Pradesh,79,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Bullock drawn M.B. plough,Farm mechanization,Bullock drawn,unit,8000,35000,range,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Groundnut decorticator – hand operated,Farm mechanization,Hand operated,unit,14000,22000,range,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Groundnut decorticator – machine operated,Farm mechanization,Machine operated,unit,50000,110000,range,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Combine harvester,Farm mechanization,Combine harvester,unit,1400000,2900000,range,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Turmeric cooking machine,Agro-processing equipment,4 drums,unit,550000,550000,fixed_reference,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Laser guided land leveller,Farm mechanization,Laser guided,unit,470000,470000,fixed_reference,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Rotary mulcher with tractor,Farm mechanization,Tractor mounted,unit,110000,170000,range,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mini power weeder,Farm mechanization,2 HP,unit,20000,25000,range,NABARD,2025-26,Andhra Pradesh,80,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Medium power weeder,Farm mechanization,4.8 HP,unit,50000,50000,fixed_reference,NABARD,2025-26,Andhra Pradesh,80-81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Solar fencing,Farm infrastructure,"5-line, 7-ft poles",per acre,80000,80000,fixed_reference,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Sugarcane harvester,Farm mechanization,Harvester,unit,10000000,15000000,range,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Paddy reaper,Farm mechanization,Reaper,unit,200000,200000,fixed_reference,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Paddy straw baler – square,Farm mechanization,Tractor operated,unit,350000,1850000,range,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Paddy straw baler – round,Farm mechanization,Tractor operated,unit,105000,1350000,range,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Automatic seedling machine,Farm mechanization,Automatic,unit,230000,350000,range,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Shredder,Farm mechanization,Agricultural shredder,unit,180000,210000,range,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Paddy winnower cleaner,Farm mechanization,Cleaner,unit,200000,200000,fixed_reference,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Agri-backhoe loader,Farm mechanization,Backhoe loader,unit,350000,420000,range,NABARD,2025-26,Andhra Pradesh,81,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Brush cutter,Farm mechanization,Brush cutter,unit,12000,28000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Chaff cutter,Farm mechanization,Chaff cutter,unit,32000,100000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Chaff cutter cum pulveriser,Farm mechanization,Combined machine,unit,55000,60000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mini feed mixing plant,Agro-processing equipment,Mini plant,unit,150000,150000,fixed_reference,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Solar/electrical pest repellent,Farm infrastructure,Solar/electrical,unit,12000,30000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
